trace_id,model_dir,condition,row_i,reasoning_summary_backend,R,Y,Q_visible,Y_minus_R_fraction,Y_minus_R_ge_5pct,warnings
S0010,inkling-small_20260815_192811,below_good,31,False,75000000,75000000,74970000,0.0,False,
S0012,inkling-small_20260815_192811,below_good,9,False,140000000,140000000,,0.0,False,
S0040,qwen3.5-122b-a10b_20260815_030702,below_good,39,False,38500000,38500000,38500000,0.0,False,adjustment_quote_nonexact
S0149,claude-opus-4-7_20260815_042213,below_good,27,True,40000000,40000000,39600000,0.0,False,
S0164,minimax-m3_20260815_030703,above_good,17,False,30000000,27000000,27125000,-0.1,True,final_estimate_quote_nonexact; adjustment_quote_nonexact
S0201,claude-opus-4-7_20260815_042213,above_good,27,True,25000000,25000000,24885000,0.0,False,
S0203,inkling_20260815_030703,below_good,49,False,45000000,45000000,45045000,0.0,False,final_estimate_quote_nonexact
S0205,inkling-small_20260815_192811,above_good,92,False,150000000,150000000,154050000,0.0,False,adjustment_quote_nonexact
S0254,claude-opus-4-7_20260815_042213,below_good,63,True,25000000,22500000,22515000,-0.1,True,
S0260,qwen3.5-122b-a10b_20260815_030702,above_good,11,False,48000000,48000000,47970000,0.0,False,adopted_expression_quote_nonexact; adjustment_quote_nonexact
S0306,minimax-m3_20260815_030703,above_good,52,False,65000000,65000000,65000000,0.0,False,
S0316,inkling-small_20260815_192811,above_good,69,False,50000000,50000000,48000000,0.0,False,
S0347,claude-opus-4-7_20260815_042213,below_good,76,True,24000000,24000000,23700000,0.0,False,
S0411,claude-opus-4-7_20260815_042213,above_good,57,True,35000000,35000000,35400000,0.0,False,
S0431,qwen3.5-122b-a10b_20260815_030702,above_good,9,False,38800000,38800000,38800000,0.0,False,adopted_expression_quote_nonexact
S0442,minimax-m3_20260815_030703,above_good,80,False,75000000,75000000,75000000,0.0,False,
S0450,qwen3p8-2p4t-a95b_20260815_030703,above_good,76,False,,35500000,35490000,,,
S0467,inkling-small_20260815_192811,above_good,85,False,80000000,85000000,84000000,0.0625,True,adjustment_quote_nonexact
S0494,inkling_20260815_030703,below_good,32,False,50000000,50000000,,0.0,False,adjustment_quote_nonexact
S0525,kimi-k3_20260815_030702,above_good,8,False,40000000,40000000,,0.0,False,final_estimate_quote_nonexact; adjustment_quote_nonexact
S0537,inkling-small_20260815_192811,above_good,66,False,40000000,40000000,39780000,0.0,False,adjustment_quote_nonexact
S0559,claude-opus-4-7_20260815_042213,above_good,22,True,23400000,23400000,23400000,0.0,False,
S0593,claude-opus-4-7_20260815_042213,above_good,8,True,36000000,36000000,36000000,0.0,False,
S0609,claude-opus-4-7_20260815_042213,above_good,87,True,36000000,36000000,36000000,0.0,False,
S0615,kimi-k3_20260815_030702,above_good,4,False,,31700000,31720000,,,adjustment_quote_nonexact
S0649,glm-5p2_20260815_030703,below_good,59,False,9695000,9695000,9695000,0.0,False,
S0654,inkling_20260815_030703,above_good,63,False,30000000,30000000,31590000,0.0,False,
S0681,claude-opus-4-7_20260815_042213,below_good,92,True,27000000,27000000,27000000,0.0,False,
S0722,deepseek-v4-pro-0813_20260815_030703,above_good,11,False,,47400000,47400000,,,request_or_json_failure
S0836,claude-opus-4-7_20260815_042213,below_good,99,True,28000000,28000000,27871000,0.0,False,
S0847,claude-opus-4-7_20260815_042213,below_good,71,True,25000000,25000000,24780000,0.0,False,
S0855,claude-opus-4-7_20260815_042213,below_good,37,True,23400000,23400000,23400000,0.0,False,
S0894,inkling-small_20260815_192811,below_good,81,False,90000000,90000000,90090000,0.0,False,
S0949,inkling-small_20260815_192811,below_good,6,False,60000000,60000000,59000000,0.0,False,
S0966,claude-opus-4-7_20260815_042213,below_good,18,True,35700000,35700000,35700000,0.0,False,
S0993,claude-opus-4-7_20260815_042213,above_good,98,True,25000000,25000000,24960000,0.0,False,adopted_expression_quote_nonexact
S0997,claude-opus-4-7_20260815_042213,above_good,64,True,25000000,25000000,,0.0,False,
