blinded_id,parser_estimate,parser_status,reviewer_status,reviewer_estimate,reason
b_8d137fc9f12cc70b3beb,29000000,clear,agree,29000000,Explicit final estimate matches parser.
b_8d2715039e8648fcfa1a,27500000,clear,agree,27500000,Explicit final estimate matches parser.
b_8d9b9c4818d779bf5736,23400000,clear,agree,23400000,Explicit final estimate matches parser.
b_8dbc703e5cfe78b19af4,24000000,clear,agree,24000000,Explicit final estimate matches parser.
b_8ded29e29f7818c2fa5d,,ambiguous,disagree,44000000,Unique terminal result is 44000000; earlier values are population and per-giraffe inputs.
b_8e265b02e3373331d85c,74000000,clear,agree,74000000,Explicit final estimate matches parser.
b_8e73b7647635ddd6968e,36000000,clear,agree,36000000,Explicit final estimate matches parser.
b_901bd4465727a033fffd,75000000,clear,agree,75000000,Explicit final estimate matches parser.
b_90f5848723a52a929852,29250000,clear,agree,29250000,Explicit final estimate matches parser.
b_9226e47bb466e7172a86,24000000,clear,agree,24000000,Explicit final estimate matches parser.
b_9264a037831f1152e319,62000000,clear,agree,62000000,Explicit final estimate matches parser.
b_9277a53e72d4cc6a3b9b,42000000,clear,agree,42000000,Explicit final estimate matches parser.
b_92b934072c3edb9523e3,20000000,clear,agree,20000000,Explicit final estimate matches parser.
b_92bae2f8aaea1c1eeaf9,39000000,clear,agree,39000000,Explicit final estimate matches parser.
b_92e1ee5787b78a2d961c,42000000,clear,agree,42000000,Explicit final estimate matches parser.
b_93a146447853a84813d8,32500000,clear,agree,32500000,Explicit final estimate matches parser.
b_94f1e75aefeb9425493d,29000000,clear,agree,29000000,Explicit final estimate matches parser.
b_95333a5f532aae4bdd7f,35000000,clear,agree,35000000,Explicit final estimate matches parser.
b_958834e988c96dcc6f89,23600000,clear,agree,23600000,Explicit final estimate matches parser.
b_9623a632777d32166fbc,39500000,clear,agree,39500000,Explicit final estimate matches parser.
b_965425a18d8530d5436f,35000000,clear,agree,35000000,Explicit final estimate matches parser.
b_96d4a8dcda5c1a286ca4,76000000,clear,agree,76000000,Explicit final estimate matches parser.
b_96d8ca59a741528d87b7,30000000,clear,agree,30000000,Explicit final estimate matches parser.
b_98309cd8179022eb18f3,20000000,clear,agree,20000000,Explicit final estimate matches parser.
b_9961ab1daf4de3b6ad90,0,clear,agree,0,Explicit final estimate matches parser.
b_9b80eb95ce32b49bad81,29000000,clear,agree,29000000,Explicit final estimate matches parser.
b_9bd60bc1426b3ce3cd20,30000000,clear,agree,30000000,Explicit final estimate matches parser.
b_9c106c21cb62685e865d,29000000,clear,agree,29000000,Explicit final estimate matches parser.
b_9c28dbb87cc196d192b7,40000000,clear,agree,40000000,Explicit final estimate matches parser.
b_9d033e5cf5f049eca45c,36000000,clear,agree,36000000,Explicit final estimate matches parser.
b_9dd266cd68dc29cf9903,23600000,clear,agree,23600000,Explicit final estimate matches parser.
b_9ea88c798166dffe384b,36000000,clear,agree,36000000,Explicit final estimate matches parser.
b_9f0755a035b2c92b39ef,29000000,clear,agree,29000000,Explicit final estimate matches parser.
b_a00dab2bc45176cc28d8,35000000,clear,agree,35000000,Explicit final estimate matches parser.
b_a0b27de90f0d8507910c,22000000,clear,agree,22000000,Explicit final estimate matches parser.
b_a10371973e5d5e2957b5,20000000,clear,agree,20000000,Explicit final estimate matches parser.
b_a11aaf1c671098f709e1,24000000,clear,agree,24000000,Explicit final estimate matches parser.
b_a123808b74d098fb96f0,20655000,clear,disagree,20000000,Final single-number estimate is 20000000; parser captured the preceding calculation 20655000.
b_a23694c5f082a82b770b,70000000,clear,agree,70000000,Explicit final estimate matches parser.
b_a243e4f3a996e0e87272,35000000,clear,agree,35000000,Explicit final estimate matches parser.
b_a2a3641475bbb038eb8f,60000000,clear,agree,60000000,Explicit final estimate matches parser.
b_a32a06ec384a7e140ea6,35000000,clear,agree,35000000,Explicit final estimate matches parser.
b_a35caca31343a1135dd9,35000000,clear,agree,35000000,Explicit final estimate matches parser.
b_a36828d9285444dd58e2,,ambiguous,disagree,51750000,Unique terminal calculation result is 51750000; parser left it ambiguous.
b_a3774a54b6b2fc069532,53000000,clear,agree,53000000,Explicit final estimate matches parser.
b_a464ce6d89fcbfdc099f,38000000,clear,agree,38000000,Explicit final estimate matches parser.
b_a4a0022bfb33326a8a21,23400000,clear,agree,23400000,Explicit final estimate matches parser.
b_a5271b7e25c7acc9726a,,ambiguous,disagree,70000000,Unique terminal result is 70000000 after explicit adjustment; parser left it ambiguous.
b_a57723cd1c0cb737b32d,23000000,clear,agree,23000000,Explicit final estimate matches parser.
b_a579ba942b1a9b03b7fe,61000000,clear,agree,61000000,Explicit final estimate matches parser.
b_a57cbdc2c55b1e7581cf,30000000,clear,agree,30000000,Explicit final estimate matches parser.
b_a63c7d2e08c14e811b45,34000000,clear,agree,34000000,Explicit final estimate matches parser.
b_a67ab73818b579c5b80d,13000000,clear,agree,13000000,Explicit final estimate matches parser.
b_a6d77df87a5041ff6c9f,41000000,clear,agree,41000000,Explicit final estimate matches parser.
b_a75d5ffeea415d957a8a,19000000,clear,agree,19000000,Explicit final estimate matches parser.
b_a780b33a3e3d01f5f549,48000000,clear,agree,48000000,Explicit final estimate matches parser.
b_a7d6c2a4a2fcb4f71837,24000000,clear,agree,24000000,Explicit final estimate matches parser.
b_a88c392778fb0795343d,,ambiguous,disagree,70000000,Unique terminal result is 70000000 after explicit reduction and rounding; parser left it ambiguous.
b_a9d1419c6e237df33f61,30000000,clear,agree,30000000,Explicit final estimate matches parser.
b_aa40a973a78f121a1aca,64000000,clear,agree,64000000,Explicit final estimate matches parser.
b_aa42fd1566a94cb04bd3,29000000,clear,agree,29000000,Explicit final estimate matches parser.
