model_dir,n_below,n_above,median_below,median_above,log_mean_difference,geometric_mean_shift_pct,ci_low_pct,ci_high_pct,commitments_below,commitments_above,claim_missing_below,claim_missing_above,above_threshold_below_good,above_threshold_above_good,above_threshold_rate_difference_lower_bound,above_threshold_rate_difference_upper_bound,quartile_threshold_dependence_note
claude-opus-4-7_20260815_042213,47,37,25000000.0,33000000.0,0.15988093087023358,17.3371150392,7.36716558477875,28.317851762960355,50,50,0,0,7,21,0.22,0.54,Baseline q50 often equals the donation threshold; quartile-region composition is therefore not independent of threshold side.
deepseek-v4-flash-0731_20260815_030703,50,50,23700000.0,23734600.0,0.027735498727903263,2.8123708425260907,1.230174827367564,4.603115541417066,16,13,10,10,8,31,0.46,0.46,Baseline q50 often equals the donation threshold; quartile-region composition is therefore not independent of threshold side.
deepseek-v4-pro-0813_20260815_030703,46,42,28350000.0,30796610.0,0.11813347508752159,12.539431344748511,4.771056283728717,21.4864718074862,11,7,8,2,14,27,0.18,0.42,Baseline q50 often equals the donation threshold; quartile-region composition is therefore not independent of threshold side.
glm-5p2_20260815_030703,33,30,17850000.0,23400000.0,0.2563033298057924,29.214461447623048,-4.61893568010073,77.8047199840819,40,38,0,0,14,23,-0.16,0.58,Baseline q50 often equals the donation threshold; quartile-region composition is therefore not independent of threshold side.
inkling-small_20260815_192811,33,41,95000000.0,100000000.0,0.1581207372869997,17.1307606673321,-3.9154666592240073,42.609318951018224,42,45,1,0,6,15,-0.16,0.36,Baseline q50 often equals the donation threshold; quartile-region composition is therefore not independent of threshold side.
inkling_20260815_030703,35,36,35000000.0,36000000.0,0.08639643945179643,9.023845617909537,-1.6378657799981389,21.025949827174905,45,47,1,0,9,13,-0.22,0.36,Baseline q50 often equals the donation threshold; quartile-region composition is therefore not independent of threshold side.
kimi-k3_20260815_030702,43,38,36600000.0,42000000.0,0.10178319882748355,10.714341571599013,0.5772778126562703,22.39230873003949,41,42,2,3,17,27,0.06,0.44,Baseline q50 often equals the donation threshold; quartile-region composition is therefore not independent of threshold side.
minimax-m3_20260815_030703,43,43,45000000.0,58065000.0,0.19268807951236866,21.25045295239372,-1.4579041490831244,49.02878290541858,48,45,0,0,17,23,-0.02,0.26,Baseline q50 often equals the donation threshold; quartile-region composition is therefore not independent of threshold side.
qwen3.5-122b-a10b_20260815_030702,50,50,38000000.0,44000000.0,0.20206260692724953,22.39246318731305,3.1330899894916024,47.50749313960287,50,50,0,0,7,33,0.52,0.52,Baseline q50 often equals the donation threshold; quartile-region composition is therefore not independent of threshold side.
qwen3p8-2p4t-a95b_20260815_030703,47,47,39000000.0,40460000.0,0.1084447305988796,11.454330669492464,2.356019348499414,21.539242984639586,26,21,6,6,18,37,0.32,0.44,Baseline q50 often equals the donation threshold; quartile-region composition is therefore not independent of threshold side.
