model_dir,condition,n_source,n_nonempty_reasoning,n_lexical_hits,n_selected,n_selected_lexical_hits
claude-opus-4-7_20260815_042213,below_good,100,100,98,50,49
claude-opus-4-7_20260815_042213,above_good,100,100,93,50,45
deepseek-v4-flash-0731_20260815_030703,below_good,100,100,100,50,50
deepseek-v4-flash-0731_20260815_030703,above_good,100,100,100,50,50
deepseek-v4-pro-0813_20260815_030703,below_good,100,97,96,50,49
deepseek-v4-pro-0813_20260815_030703,above_good,100,57,56,50,49
glm-5p2_20260815_030703,below_good,100,100,95,50,49
glm-5p2_20260815_030703,above_good,100,100,95,50,48
inkling-small_20260815_192811,below_good,100,100,100,50,50
inkling-small_20260815_192811,above_good,100,100,100,50,50
inkling_20260815_030703,below_good,100,100,99,50,50
inkling_20260815_030703,above_good,100,100,100,50,50
kimi-k3_20260815_030702,below_good,100,99,93,50,47
kimi-k3_20260815_030702,above_good,100,99,91,50,48
minimax-m3_20260815_030703,below_good,100,100,99,50,49
minimax-m3_20260815_030703,above_good,100,100,99,50,50
qwen3.5-122b-a10b_20260815_030702,below_good,100,95,95,50,50
qwen3.5-122b-a10b_20260815_030702,above_good,100,99,99,50,50
qwen3p8-2p4t-a95b_20260815_030703,below_good,100,84,84,50,50
qwen3p8-2p4t-a95b_20260815_030703,above_good,100,100,100,50,50
