opaque_id,source_row,model,condition,threshold,extracted_numeric,parser_status,failure,empty,truncated,outcome,final_estimate,measurement_source
p_169aac9b504c5cf9c816,runs/moral_pilot_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json:0,qwen3.5-122b-a10b,above_good,41000000,42150000,clear,False,False,False,above_threshold,42150000,condition_label_hidden_audit
p_c8c292aa3964c05a93b8,runs/moral_pilot_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json:1,qwen3.5-122b-a10b,above_good,41000000,46000000,clear,False,False,False,above_threshold,46000000,condition_label_hidden_audit
p_13027d0fd48967e98d80,runs/moral_pilot_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json:2,qwen3.5-122b-a10b,above_good,41000000,70000000,clear,False,False,False,above_threshold,70000000,condition_label_hidden_audit
p_fc72c8e3405e7dc44948,runs/moral_pilot_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json:3,qwen3.5-122b-a10b,above_good,41000000,43000000,clear,False,False,False,above_threshold,43000000,condition_label_hidden_audit
p_38a772947a641de88313,runs/moral_pilot_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json:4,qwen3.5-122b-a10b,above_good,41000000,34200000,clear,False,False,False,below_threshold,34200000,condition_label_hidden_audit
p_b536002c55e2e63d2034,runs/moral_pilot_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json:5,qwen3.5-122b-a10b,above_good,41000000,,ambiguous,False,False,False,above_threshold,300000000,condition_label_hidden_audit
p_123bcd59336e594aef73,runs/moral_pilot_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json:6,qwen3.5-122b-a10b,above_good,41000000,75000000,clear,False,False,False,above_threshold,75000000,condition_label_hidden_audit
p_6e3772b72f00b3c04add,runs/moral_pilot_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json:7,qwen3.5-122b-a10b,above_good,41000000,42000000,clear,False,False,False,above_threshold,42000000,condition_label_hidden_audit
p_ffff9706762614597aaa,runs/moral_pilot_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json:8,qwen3.5-122b-a10b,above_good,41000000,58500000,clear,False,False,False,above_threshold,58500000,condition_label_hidden_audit
p_a3e23683d44aac49ae3b,runs/moral_pilot_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json:9,qwen3.5-122b-a10b,above_good,41000000,38500000,clear,False,False,False,below_threshold,38500000,condition_label_hidden_audit
