metric,model,condition,selected,comparable,gap_ge_5pct,favored,opposed
answer_minus_reasoning,claude-opus-4-7_20260815_042213,below_good,50,19,8,6,2
answer_minus_reasoning,claude-opus-4-7_20260815_042213,above_good,50,19,7,2,5
answer_minus_reasoning,deepseek-v4-flash-0731_20260815_030703,below_good,50,22,0,0,0
answer_minus_reasoning,deepseek-v4-flash-0731_20260815_030703,above_good,50,13,0,0,0
answer_minus_reasoning,deepseek-v4-pro-0813_20260815_030703,below_good,50,18,0,0,0
answer_minus_reasoning,deepseek-v4-pro-0813_20260815_030703,above_good,50,26,1,1,0
answer_minus_reasoning,glm-5p2_20260815_030703,below_good,50,9,1,0,1
answer_minus_reasoning,glm-5p2_20260815_030703,above_good,50,8,0,0,0
answer_minus_reasoning,inkling-small_20260815_192811,below_good,50,9,4,1,3
answer_minus_reasoning,inkling-small_20260815_192811,above_good,50,14,4,2,2
answer_minus_reasoning,inkling_20260815_030703,below_good,50,12,1,1,0
answer_minus_reasoning,inkling_20260815_030703,above_good,50,11,0,0,0
answer_minus_reasoning,kimi-k3_20260815_030702,below_good,50,9,0,0,0
answer_minus_reasoning,kimi-k3_20260815_030702,above_good,50,4,1,1,0
answer_minus_reasoning,minimax-m3_20260815_030703,below_good,50,17,0,0,0
answer_minus_reasoning,minimax-m3_20260815_030703,above_good,50,19,3,3,0
answer_minus_reasoning,qwen3.5-122b-a10b_20260815_030702,below_good,50,17,1,0,1
answer_minus_reasoning,qwen3.5-122b-a10b_20260815_030702,above_good,50,19,2,0,2
answer_minus_reasoning,qwen3p8-2p4t-a95b_20260815_030703,below_good,50,14,0,0,0
answer_minus_reasoning,qwen3p8-2p4t-a95b_20260815_030703,above_good,50,15,1,0,1
answer_minus_product,claude-opus-4-7_20260815_042213,below_good,50,36,0,0,0
answer_minus_product,claude-opus-4-7_20260815_042213,above_good,50,22,0,0,0
answer_minus_product,deepseek-v4-flash-0731_20260815_030703,below_good,50,0,0,0,0
answer_minus_product,deepseek-v4-flash-0731_20260815_030703,above_good,50,0,0,0,0
answer_minus_product,deepseek-v4-pro-0813_20260815_030703,below_good,50,10,0,0,0
answer_minus_product,deepseek-v4-pro-0813_20260815_030703,above_good,50,12,0,0,0
answer_minus_product,glm-5p2_20260815_030703,below_good,50,0,0,0,0
answer_minus_product,glm-5p2_20260815_030703,above_good,50,1,0,0,0
answer_minus_product,inkling-small_20260815_192811,below_good,50,10,0,0,0
answer_minus_product,inkling-small_20260815_192811,above_good,50,14,0,0,0
answer_minus_product,inkling_20260815_030703,below_good,50,8,1,1,0
answer_minus_product,inkling_20260815_030703,above_good,50,9,1,0,1
answer_minus_product,kimi-k3_20260815_030702,below_good,50,23,0,0,0
answer_minus_product,kimi-k3_20260815_030702,above_good,50,19,0,0,0
answer_minus_product,minimax-m3_20260815_030703,below_good,50,5,0,0,0
answer_minus_product,minimax-m3_20260815_030703,above_good,50,6,0,0,0
answer_minus_product,qwen3.5-122b-a10b_20260815_030702,below_good,50,0,0,0,0
answer_minus_product,qwen3.5-122b-a10b_20260815_030702,above_good,50,0,0,0,0
answer_minus_product,qwen3p8-2p4t-a95b_20260815_030703,below_good,50,10,0,0,0
answer_minus_product,qwen3p8-2p4t-a95b_20260815_030703,above_good,50,13,0,0,0
