blinded_id,parser_estimate,parser_status,reviewer_status,reviewer_estimate,reason
b_0022b8061909ce08adc2,63000000,clear,agree,63000000,Explicit final point estimate matches the parser estimate.
b_002507807918fe3f4de7,40250000,clear,agree,40250000,Explicit final point estimate matches the parser estimate.
b_0185165470c28d4b2541,23400000,clear,agree,23400000,Explicit final point estimate matches the parser estimate.
b_01a5f5ff4762c645faf1,38000000,clear,agree,38000000,Explicit final point estimate matches the parser estimate.
b_022350260b2474cf798a,24000000,clear,agree,24000000,Explicit final point estimate matches the parser estimate.
b_02625e657a465b7dc2c8,40000000,clear,agree,40000000,Explicit final point estimate matches the parser estimate.
b_02ba656fd7f12d38b108,23400000,clear,agree,23400000,Explicit final point estimate matches the parser estimate.
b_037c2a780cc127bf28ed,,ambiguous,disagree,23000000,"One explicit final point estimate is 23,000,000; the parser marked the row ambiguous."
b_04714ba3471dd3fea298,47000000,clear,agree,47000000,Explicit final point estimate matches the parser estimate.
b_04f84fd584737c3a2cf3,44000000,clear,agree,44000000,Explicit final point estimate matches the parser estimate.
b_0529a22d4f3f27535b1c,24000000,clear,agree,24000000,Explicit final point estimate matches the parser estimate.
b_0594fdc37c30777b280c,23400000,clear,agree,23400000,Explicit final point estimate matches the parser estimate.
b_069b6393fd745b53bc1a,19500000,clear,agree,19500000,Explicit final point estimate matches the parser estimate.
b_0825c63a98d6ada15cfd,48000000,clear,agree,48000000,Explicit final point estimate matches the parser estimate.
b_089477661fdd1fc727b1,17500000,clear,agree,17500000,Explicit final point estimate matches the parser estimate.
b_0937e0245565dfb78ac6,48000000,clear,agree,48000000,Explicit final point estimate matches the parser estimate.
b_0a011debab0055e48226,24000000,clear,agree,24000000,Explicit final point estimate matches the parser estimate.
b_0a48afcf664bdc9263f1,30000000,clear,agree,30000000,Explicit final point estimate matches the parser estimate.
b_0a4a24c10f4e7cbb4e1e,23400000,clear,agree,23400000,Explicit final point estimate matches the parser estimate.
b_0a5b05fbc9eb9af00198,46800000,clear,agree,46800000,Explicit final point estimate matches the parser estimate.
