opaque_id,model,model_id,condition,threshold,split,combined_i,source_file,source_i,request_id,provider,parser_status,parser_estimate
p_169aac9b504c5cf9c816,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,pilot,0,runs/moral_pilot_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,0,gen-1788060193-BFINjJ77xBGPoTdzgUB0,SiliconFlow,clear,42150000
p_c8c292aa3964c05a93b8,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,pilot,1,runs/moral_pilot_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,1,gen-1788060193-Ww4CBxGT4FSe7MJoI0hz,DeepInfra,clear,46000000
p_13027d0fd48967e98d80,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,pilot,2,runs/moral_pilot_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,2,gen-1788060194-gIQIATXaTBobk3uBVYr6,DeepInfra,clear,70000000
p_fc72c8e3405e7dc44948,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,pilot,3,runs/moral_pilot_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,3,gen-1788060104-dJJmBy5GhG2Dc9H77Wcn,DeepInfra,clear,43000000
p_38a772947a641de88313,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,pilot,4,runs/moral_pilot_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,4,gen-1788060104-NiJSwXztrvg62C1KqZpu,DeepInfra,clear,34200000
p_b536002c55e2e63d2034,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,pilot,5,runs/moral_pilot_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,5,gen-1788060104-SA5kHo3N1dSXwHd2jEJb,SiliconFlow,ambiguous,
p_123bcd59336e594aef73,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,pilot,6,runs/moral_pilot_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,6,gen-1788060104-VZxkOdnUVcUF4ttnNBSP,Novita,clear,75000000
p_6e3772b72f00b3c04add,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,pilot,7,runs/moral_pilot_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,7,gen-1788060105-3evoUGfY9iLGPqZxTOOO,DeepInfra,clear,42000000
p_ffff9706762614597aaa,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,pilot,8,runs/moral_pilot_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,8,gen-1788060104-eraalO4cw3loqFHfy0zu,SiliconFlow,clear,58500000
p_a3e23683d44aac49ae3b,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,pilot,9,runs/moral_pilot_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,9,gen-1788060104-LrnbkNTQL4BTjVH858KL,DeepInfra,clear,38500000
e_77d1c3788009d4619fd7,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,extension,10,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,0,gen-1788062124-EwyKEMhaNJ7v8cpKQG6t,SiliconFlow,clear,35000000
e_4753ab2bde7f3b5ff4aa,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,extension,11,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,1,gen-1788062160-aYAuj75CtYzJEL8JtIxg,SiliconFlow,clear,33000000
e_b724c6e34c9b2bbc02be,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,extension,12,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,2,gen-1788061946-TCBZFnqi3E5IOfbVYcS6,DeepInfra,clear,42000000
e_ade010b1689e11bfa680,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,extension,13,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,3,gen-1788062478-xaw3uyFxHiXbODXDWraF,SiliconFlow,clear,52000000
e_1d917a67237d77899443,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,extension,14,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,4,gen-1788062520-GiANtT7syyfGmATIuoLL,DeepInfra,clear,90000000
e_5cc80a932def32ad6757,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,extension,15,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,5,gen-1788062051-vO6cKMfkq2ThjBFrt77w,SiliconFlow,clear,35000000
e_e66095a60731c5e57841,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,extension,16,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,6,gen-1788062108-q5FX35fTfThi3dUkYOa0,Novita,clear,75000000
e_b19d1ef57c7cea538a0c,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,extension,17,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,7,gen-1788062538-6NdBubb38dkUkZ9yzqTw,DeepInfra,clear,60000000
e_ca0933ae3704c466911f,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,extension,18,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,8,gen-1788062314-ewLW8erKCMN1313Vm7e6,Novita,clear,39500000
e_3c027bd7ba403c62eed9,qwen3.5-122b-a10b,qwen/qwen3.5-122b-a10b,above_good,41000000,extension,19,runs/moral_extension_qwen_pair/qwen3.5-122b-a10b/above_good_41000000.json,9,gen-1788062423-unsEVHRExsbISz3YiMps,SiliconFlow,clear,39500000
