trace_id,model_dir,condition,row_i,threshold
S0001,qwen3.5-122b-a10b_20260815_030702,below_good,71,41000000
S0002,minimax-m3_20260815_030703,above_good,86,50000000
S0003,deepseek-v4-pro-0813_20260815_030703,below_good,13,30000000
S0004,deepseek-v4-flash-0731_20260815_030703,below_good,37,23700000
S0005,deepseek-v4-pro-0813_20260815_030703,above_good,14,30000000
S0006,deepseek-v4-flash-0731_20260815_030703,above_good,24,23700000
S0007,deepseek-v4-pro-0813_20260815_030703,below_good,51,30000000
S0008,minimax-m3_20260815_030703,below_good,38,50000000
S0009,deepseek-v4-pro-0813_20260815_030703,below_good,69,30000000
S0010,inkling-small_20260815_192811,below_good,31,120000000
S0011,glm-5p2_20260815_030703,above_good,31,20874000
S0012,inkling-small_20260815_192811,below_good,9,120000000
S0013,claude-opus-4-7_20260815_042213,above_good,36,30000000
S0014,claude-opus-4-7_20260815_042213,below_good,61,30000000
S0015,glm-5p2_20260815_030703,above_good,93,20874000
S0016,inkling_20260815_030703,below_good,19,40000000
S0017,glm-5p2_20260815_030703,above_good,15,20874000
S0018,claude-opus-4-7_20260815_042213,above_good,19,30000000
S0019,qwen3p8-2p4t-a95b_20260815_030703,below_good,38,39500000
S0020,qwen3p8-2p4t-a95b_20260815_030703,above_good,72,39500000
S0021,minimax-m3_20260815_030703,above_good,4,50000000
S0022,kimi-k3_20260815_030702,below_good,26,39600000
S0023,inkling_20260815_030703,above_good,18,40000000
S0024,inkling-small_20260815_192811,below_good,37,120000000
S0025,qwen3p8-2p4t-a95b_20260815_030703,above_good,45,39500000
S0026,deepseek-v4-flash-0731_20260815_030703,below_good,17,23700000
S0027,glm-5p2_20260815_030703,below_good,54,20874000
S0028,inkling_20260815_030703,above_good,2,40000000
S0029,deepseek-v4-flash-0731_20260815_030703,below_good,41,23700000
S0030,inkling-small_20260815_192811,above_good,43,120000000
S0031,qwen3.5-122b-a10b_20260815_030702,above_good,36,41000000
S0032,kimi-k3_20260815_030702,below_good,24,39600000
S0033,inkling_20260815_030703,above_good,35,40000000
S0034,kimi-k3_20260815_030702,below_good,40,39600000
S0035,qwen3p8-2p4t-a95b_20260815_030703,below_good,11,39500000
S0036,inkling_20260815_030703,above_good,95,40000000
S0037,qwen3.5-122b-a10b_20260815_030702,below_good,28,41000000
S0038,claude-opus-4-7_20260815_042213,above_good,23,30000000
S0039,glm-5p2_20260815_030703,below_good,42,20874000
S0040,qwen3.5-122b-a10b_20260815_030702,below_good,39,41000000
S0041,inkling_20260815_030703,above_good,94,40000000
S0042,claude-opus-4-7_20260815_042213,above_good,44,30000000
S0043,qwen3p8-2p4t-a95b_20260815_030703,below_good,81,39500000
S0044,inkling-small_20260815_192811,above_good,65,120000000
S0045,inkling-small_20260815_192811,above_good,31,120000000
S0046,deepseek-v4-pro-0813_20260815_030703,above_good,89,30000000
S0047,glm-5p2_20260815_030703,above_good,48,20874000
S0048,kimi-k3_20260815_030702,above_good,69,39600000
S0049,inkling-small_20260815_192811,below_good,51,120000000
S0050,qwen3p8-2p4t-a95b_20260815_030703,below_good,76,39500000
S0051,glm-5p2_20260815_030703,below_good,32,20874000
S0052,claude-opus-4-7_20260815_042213,below_good,88,30000000
S0053,qwen3p8-2p4t-a95b_20260815_030703,above_good,80,39500000
S0054,inkling-small_20260815_192811,above_good,91,120000000
S0055,claude-opus-4-7_20260815_042213,above_good,68,30000000
S0056,qwen3p8-2p4t-a95b_20260815_030703,below_good,8,39500000
S0057,deepseek-v4-flash-0731_20260815_030703,above_good,23,23700000
S0058,deepseek-v4-flash-0731_20260815_030703,above_good,74,23700000
S0059,qwen3.5-122b-a10b_20260815_030702,below_good,65,41000000
S0060,qwen3.5-122b-a10b_20260815_030702,below_good,26,41000000
S0061,inkling-small_20260815_192811,above_good,8,120000000
S0062,deepseek-v4-flash-0731_20260815_030703,below_good,22,23700000
S0063,inkling_20260815_030703,below_good,9,40000000
S0064,qwen3.5-122b-a10b_20260815_030702,below_good,59,41000000
S0065,glm-5p2_20260815_030703,below_good,82,20874000
S0066,deepseek-v4-pro-0813_20260815_030703,above_good,81,30000000
S0067,inkling-small_20260815_192811,below_good,39,120000000
S0068,kimi-k3_20260815_030702,above_good,50,39600000
S0069,inkling_20260815_030703,above_good,9,40000000
S0070,deepseek-v4-pro-0813_20260815_030703,below_good,88,30000000
S0071,inkling-small_20260815_192811,above_good,52,120000000
S0072,deepseek-v4-flash-0731_20260815_030703,below_good,42,23700000
S0073,deepseek-v4-pro-0813_20260815_030703,above_good,17,30000000
S0074,deepseek-v4-flash-0731_20260815_030703,below_good,85,23700000
S0075,claude-opus-4-7_20260815_042213,above_good,54,30000000
S0076,deepseek-v4-flash-0731_20260815_030703,below_good,88,23700000
S0077,minimax-m3_20260815_030703,above_good,51,50000000
S0078,deepseek-v4-flash-0731_20260815_030703,above_good,49,23700000
S0079,qwen3p8-2p4t-a95b_20260815_030703,above_good,19,39500000
S0080,qwen3p8-2p4t-a95b_20260815_030703,above_good,26,39500000
S0081,deepseek-v4-flash-0731_20260815_030703,below_good,11,23700000
S0082,glm-5p2_20260815_030703,above_good,6,20874000
S0083,claude-opus-4-7_20260815_042213,below_good,70,30000000
S0084,claude-opus-4-7_20260815_042213,above_good,14,30000000
S0085,minimax-m3_20260815_030703,below_good,62,50000000
S0086,qwen3.5-122b-a10b_20260815_030702,above_good,46,41000000
S0087,deepseek-v4-pro-0813_20260815_030703,below_good,79,30000000
S0088,qwen3.5-122b-a10b_20260815_030702,above_good,1,41000000
S0089,kimi-k3_20260815_030702,below_good,87,39600000
S0090,claude-opus-4-7_20260815_042213,above_good,76,30000000
S0091,inkling-small_20260815_192811,below_good,52,120000000
S0092,inkling-small_20260815_192811,above_good,22,120000000
S0093,kimi-k3_20260815_030702,below_good,27,39600000
S0094,deepseek-v4-pro-0813_20260815_030703,above_good,13,30000000
S0095,inkling-small_20260815_192811,below_good,58,120000000
S0096,minimax-m3_20260815_030703,below_good,92,50000000
S0097,kimi-k3_20260815_030702,above_good,75,39600000
S0098,claude-opus-4-7_20260815_042213,below_good,36,30000000
