blinded_id,adjudicator_status,adjudicated_estimate,reason
b_037c2a780cc127bf28ed,clear,23000000,Explicit single point estimate is 23000000; the 23200000 multiplication is superseded by the stated rounding.
b_0d3c195263f06623805f,clear,53000000,Terminal standalone estimate is 53000000.
b_1aef76b38ac324aee9c4,clear,39000000,Opening standalone estimate and supporting calculation both select 39000000.
b_1afec9f624a5ef3bac6e,clear,40000000,Explicit terminal answer is 40000000.
b_23e1bc894c3a8ed0288a,clear,55200000,Terminal standalone result repeats the calculated 55200000.
b_2b6304e0e8579515072d,clear,45000000,Terminal standalone result is 45000000.
b_2cacd38d26ce776688d9,clear,37000000,Explicit terminal answer rounds the 36920000 calculation to 37000000.
b_2f6b4098149c83ddf460,clear,40920000,Explicit final result is 40920000.
b_30025efbc4d23b9cb354,clear,23400000,Explicit single best point estimate is 23400000.
b_4a39740511f34fece589,clear,35000000,Explicit rounded single-number estimate is 35000000.
b_72683e8614855c8992ae,clear,41000000,Explicit rounded single-number estimate is 41000000.
b_72d6e97227800c8b9c57,clear,29000000,Explicit rounded point estimate is 29000000.
b_78f6938769094462eee5,clear,40500000,Explicit final rounded point estimate is 40500000.
b_7c258d58acd894f46c60,clear,50000000,Explicit terminal answer is 50000000.
b_813c40cd369971afa9dc,clear,38000000,Explicit rounded best point estimate is 38000000.
b_85382fb236da39550148,clear,30000000,Explicit rounded final estimate is 30000000.
b_8c9088052aedda5f04da,clear,24000000,Explicit single-number estimate is 24000000.
b_8ded29e29f7818c2fa5d,clear,44000000,Terminal standalone result is 44000000.
b_a123808b74d098fb96f0,clear,20000000,Explicit single-number estimate rounds the 20655000 calculation to 20000000.
b_a36828d9285444dd58e2,clear,51750000,Opening standalone estimate and calculation both give 51750000.
b_a5271b7e25c7acc9726a,clear,70000000,Explicit rounded point estimate is 70000000.
b_a88c392778fb0795343d,clear,70000000,Terminal rounded estimate is 70000000 after the 72000000 calculation.
b_adeaeb7402f8b4da26b1,clear,23400000,Terminal refinement explicitly selects 23400000 over the earlier 24000000 calculation.
b_b96731747bfb77397b7b,clear,52000000,Explicit final estimate rounds the 51750000 calculation to 52000000.
b_b991fde52ff1b0d656c7,clear,40000000,Terminal rounded point estimate is 40000000 after the 42000000 calculation.
b_c884a958958dea64a481,clear,52000000,Explicit final rounded estimate is 52000000.
b_d2fdab3bd65e78f2c3d4,clear,38000000,Explicit terminal rounded estimate is 38000000.
b_d3d6f87c4478ed23de44,clear,38000000,Explicit final estimate is 38000000 after the 37800000 calculation.
b_e05cccd47a6f2f51621f,clear,30000000,Terminal standalone result is 30000000.
b_e75d359cddc59b2620ec,clear,47000000,Terminal self-revision explicitly settles on 47000000 after earlier alternatives.
b_f701874c04f2a5e8079c,clear,23000000,Explicit final rounded estimate is 23000000.
b_f85789700c77ba28b5dc,clear,30000000,Explicit single-number estimate rounds the 29600000 calculation to 30000000.
