dataset,model_dir,condition,stratum,n_selected,n_finite_y,n_log_y,above_threshold,at_threshold,above_threshold_rate,donation_favorable_rate,threshold_rate_lower,threshold_rate_upper
h6_corrected,claude-opus-4-7_20260815_042213,below_good,all,50,47,47,7,4,0.14893617021276595,0.851063829787234,0.14,0.2
h6_corrected,claude-opus-4-7_20260815_042213,below_good,known_label,50,47,47,7,4,0.14893617021276595,0.851063829787234,0.14,0.2
h6_corrected,claude-opus-4-7_20260815_042213,below_good,positive,50,47,47,7,4,0.14893617021276595,0.851063829787234,0.14,0.2
h6_corrected,claude-opus-4-7_20260815_042213,below_good,negative,0,0,0,0,0,,,,
h6_corrected,claude-opus-4-7_20260815_042213,above_good,all,50,37,37,21,2,0.5675675675675675,0.5675675675675675,0.42,0.68
h6_corrected,claude-opus-4-7_20260815_042213,above_good,known_label,50,37,37,21,2,0.5675675675675675,0.5675675675675675,0.42,0.68
h6_corrected,claude-opus-4-7_20260815_042213,above_good,positive,50,37,37,21,2,0.5675675675675675,0.5675675675675675,0.42,0.68
h6_corrected,claude-opus-4-7_20260815_042213,above_good,negative,0,0,0,0,0,,,,
h6_corrected,deepseek-v4-flash-0731_20260815_030703,below_good,all,50,50,50,8,22,0.16,0.84,0.16,0.16
h6_corrected,deepseek-v4-flash-0731_20260815_030703,below_good,known_label,40,40,40,6,17,0.15,0.85,0.15,0.15
h6_corrected,deepseek-v4-flash-0731_20260815_030703,below_good,positive,16,16,16,3,10,0.1875,0.8125,0.1875,0.1875
h6_corrected,deepseek-v4-flash-0731_20260815_030703,below_good,negative,24,24,24,3,7,0.125,0.875,0.125,0.125
h6_corrected,deepseek-v4-flash-0731_20260815_030703,above_good,all,50,50,50,31,9,0.62,0.62,0.62,0.62
h6_corrected,deepseek-v4-flash-0731_20260815_030703,above_good,known_label,40,40,40,26,5,0.65,0.65,0.65,0.65
h6_corrected,deepseek-v4-flash-0731_20260815_030703,above_good,positive,13,13,13,9,3,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923
h6_corrected,deepseek-v4-flash-0731_20260815_030703,above_good,negative,27,27,27,17,2,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.6296296296296297
h6_corrected,deepseek-v4-pro-0813_20260815_030703,below_good,all,50,46,46,14,0,0.30434782608695654,0.6956521739130435,0.28,0.36
h6_corrected,deepseek-v4-pro-0813_20260815_030703,below_good,known_label,42,39,39,11,0,0.28205128205128205,0.717948717948718,0.2619047619047619,0.3333333333333333
h6_corrected,deepseek-v4-pro-0813_20260815_030703,below_good,positive,11,10,10,3,0,0.3,0.7,0.2727272727272727,0.36363636363636365
h6_corrected,deepseek-v4-pro-0813_20260815_030703,below_good,negative,31,29,29,8,0,0.27586206896551724,0.7241379310344828,0.25806451612903225,0.3225806451612903
h6_corrected,deepseek-v4-pro-0813_20260815_030703,above_good,all,50,42,42,27,1,0.6428571428571429,0.6428571428571429,0.54,0.7
h6_corrected,deepseek-v4-pro-0813_20260815_030703,above_good,known_label,48,41,41,26,1,0.6341463414634146,0.6341463414634146,0.5416666666666666,0.6875
h6_corrected,deepseek-v4-pro-0813_20260815_030703,above_good,positive,7,5,5,3,0,0.6,0.6,0.42857142857142855,0.7142857142857143
h6_corrected,deepseek-v4-pro-0813_20260815_030703,above_good,negative,41,36,36,23,1,0.6388888888888888,0.6388888888888888,0.5609756097560976,0.6829268292682927
h6_corrected,glm-5p2_20260815_030703,below_good,all,50,33,33,14,0,0.42424242424242425,0.5757575757575758,0.28,0.62
h6_corrected,glm-5p2_20260815_030703,below_good,known_label,50,33,33,14,0,0.42424242424242425,0.5757575757575758,0.28,0.62
h6_corrected,glm-5p2_20260815_030703,below_good,positive,40,26,26,12,0,0.46153846153846156,0.5384615384615384,0.3,0.65
h6_corrected,glm-5p2_20260815_030703,below_good,negative,10,7,7,2,0,0.2857142857142857,0.7142857142857143,0.2,0.5
h6_corrected,glm-5p2_20260815_030703,above_good,all,50,30,30,23,0,0.7666666666666667,0.7666666666666667,0.46,0.86
h6_corrected,glm-5p2_20260815_030703,above_good,known_label,50,30,30,23,0,0.7666666666666667,0.7666666666666667,0.46,0.86
h6_corrected,glm-5p2_20260815_030703,above_good,positive,38,24,24,18,0,0.75,0.75,0.47368421052631576,0.8421052631578947
h6_corrected,glm-5p2_20260815_030703,above_good,negative,12,6,6,5,0,0.8333333333333334,0.8333333333333334,0.4166666666666667,0.9166666666666666
h6_corrected,inkling-small_20260815_192811,below_good,all,50,33,33,6,2,0.18181818181818182,0.8181818181818182,0.12,0.46
h6_corrected,inkling-small_20260815_192811,below_good,known_label,49,33,33,6,2,0.18181818181818182,0.8181818181818182,0.12244897959183673,0.4489795918367347
h6_corrected,inkling-small_20260815_192811,below_good,positive,42,32,32,5,2,0.15625,0.84375,0.11904761904761904,0.35714285714285715
h6_corrected,inkling-small_20260815_192811,below_good,negative,7,1,1,1,0,1.0,0.0,0.14285714285714285,1.0
h6_corrected,inkling-small_20260815_192811,above_good,all,50,41,41,15,1,0.36585365853658536,0.36585365853658536,0.3,0.48
h6_corrected,inkling-small_20260815_192811,above_good,known_label,50,41,41,15,1,0.36585365853658536,0.36585365853658536,0.3,0.48
h6_corrected,inkling-small_20260815_192811,above_good,positive,45,38,38,12,1,0.3157894736842105,0.3157894736842105,0.26666666666666666,0.4222222222222222
h6_corrected,inkling-small_20260815_192811,above_good,negative,5,3,3,3,0,1.0,1.0,0.6,1.0
h6_corrected,inkling_20260815_030703,below_good,all,50,35,35,9,0,0.2571428571428571,0.7428571428571429,0.18,0.48
h6_corrected,inkling_20260815_030703,below_good,known_label,49,34,34,9,0,0.2647058823529412,0.7352941176470589,0.1836734693877551,0.4897959183673469
h6_corrected,inkling_20260815_030703,below_good,positive,45,31,31,8,0,0.25806451612903225,0.7419354838709677,0.17777777777777778,0.4888888888888889
h6_corrected,inkling_20260815_030703,below_good,negative,4,3,3,1,0,0.3333333333333333,0.6666666666666666,0.25,0.5
h6_corrected,inkling_20260815_030703,above_good,all,50,36,36,13,0,0.3611111111111111,0.3611111111111111,0.26,0.54
h6_corrected,inkling_20260815_030703,above_good,known_label,50,36,36,13,0,0.3611111111111111,0.3611111111111111,0.26,0.54
h6_corrected,inkling_20260815_030703,above_good,positive,47,34,34,12,0,0.35294117647058826,0.35294117647058826,0.2553191489361702,0.5319148936170213
h6_corrected,inkling_20260815_030703,above_good,negative,3,2,2,1,0,0.5,0.5,0.3333333333333333,0.6666666666666666
h6_corrected,kimi-k3_20260815_030702,below_good,all,50,43,43,17,0,0.3953488372093023,0.6046511627906976,0.34,0.48
h6_corrected,kimi-k3_20260815_030702,below_good,known_label,48,41,41,15,0,0.36585365853658536,0.6341463414634146,0.3125,0.4583333333333333
h6_corrected,kimi-k3_20260815_030702,below_good,positive,41,35,35,15,0,0.42857142857142855,0.5714285714285714,0.36585365853658536,0.5121951219512195
h6_corrected,kimi-k3_20260815_030702,below_good,negative,7,6,6,0,0,0.0,1.0,0.0,0.14285714285714285
h6_corrected,kimi-k3_20260815_030702,above_good,all,50,38,38,27,1,0.7105263157894737,0.7105263157894737,0.54,0.78
