dataset,tier,n_models,metric,comparison,estimate,ci95_low,ci95_high,one_sided95_lower,conditional_finite_ci95_low,conditional_finite_ci95_high,bootstrap_n,bootstrap_undefined,bootstrap_undefined_fraction,interval_status,attenuation_compatible_95_upper,note
h6_corrected,model:claude-opus-4-7_20260815_042213,1,log,positive_minus_all,0.0,0.0,0.0,0.0,0.0,0.0,10000,0,0.0,supported,0.0,"Paired difference of condition contrasts, not an intervention effect; a non-significant difference is not equivalence."
h6_corrected,model:claude-opus-4-7_20260815_042213,1,log,positive_minus_known_label,0.0,0.0,0.0,0.0,0.0,0.0,10000,0,0.0,supported,0.0,"Paired difference of condition contrasts, not an intervention effect; a non-significant difference is not equivalence."
h6_corrected,model:claude-opus-4-7_20260815_042213,1,log,known_label_minus_all,0.0,0.0,0.0,0.0,0.0,0.0,10000,0,0.0,supported,0.0,"Paired difference of condition contrasts, not an intervention effect; a non-significant difference is not equivalence."
h6_corrected,model:claude-opus-4-7_20260815_042213,1,log,positive_minus_negative,,,,,,,10000,10000,1.0,withheld_undefined_support,,"Paired difference of condition contrasts, not an intervention effect; a non-significant difference is not equivalence."
h6_corrected,model:claude-opus-4-7_20260815_042213,1,binary,positive_minus_all,0.0,0.0,0.0,0.0,0.0,0.0,10000,0,0.0,supported,0.0,"Paired difference of condition contrasts, not an intervention effect; a non-significant difference is not equivalence."
h6_corrected,model:claude-opus-4-7_20260815_042213,1,binary,positive_minus_known_label,0.0,0.0,0.0,0.0,0.0,0.0,10000,0,0.0,supported,0.0,"Paired difference of condition contrasts, not an intervention effect; a non-significant difference is not equivalence."
h6_corrected,model:claude-opus-4-7_20260815_042213,1,binary,known_label_minus_all,0.0,0.0,0.0,0.0,0.0,0.0,10000,0,0.0,supported,0.0,"Paired difference of condition contrasts, not an intervention effect; a non-significant difference is not equivalence."
h6_corrected,model:claude-opus-4-7_20260815_042213,1,binary,positive_minus_negative,,,,,,,10000,10000,1.0,withheld_undefined_support,,"Paired difference of condition contrasts, not an intervention effect; a non-significant difference is not equivalence."
h6_corrected,model:deepseek-v4-flash-0731_20260815_030703,1,log,positive_minus_all,0.011779528789418237,-0.013568346249940789,0.03886628742565028,-0.009199785713709474,-0.013568346249940789,0.03886628742565028,10000,0,0.0,supported,0.013568346249940789,"Paired difference of condition contrasts, not an intervention effect; a non-significant difference is not equivalence."
h6_corrected,model:deepseek-v4-flash-0731_20260815_030703,1,log,positive_minus_known_label,0.00926123896049802,-0.015472928010856356,0.035475626745998384,-0.010751997229301757,-0.015472928010856356,0.035475626745998384,10000,0,0.0,supported,0.015472928010856356,"Paired difference of condition contrasts, not an intervention effect; a non-significant difference is not equivalence."
