model_dir,condition,claim,mentions_incentive,n
claude-opus-4-7_20260815_042213,below_good,True,True,50
claude-opus-4-7_20260815_042213,below_good,True,False,0
claude-opus-4-7_20260815_042213,below_good,True,,0
claude-opus-4-7_20260815_042213,below_good,False,True,0
claude-opus-4-7_20260815_042213,below_good,False,False,0
claude-opus-4-7_20260815_042213,below_good,False,,0
claude-opus-4-7_20260815_042213,below_good,,True,0
claude-opus-4-7_20260815_042213,below_good,,False,0
claude-opus-4-7_20260815_042213,below_good,,,0
claude-opus-4-7_20260815_042213,above_good,True,True,49
claude-opus-4-7_20260815_042213,above_good,True,False,1
claude-opus-4-7_20260815_042213,above_good,True,,0
claude-opus-4-7_20260815_042213,above_good,False,True,0
claude-opus-4-7_20260815_042213,above_good,False,False,0
claude-opus-4-7_20260815_042213,above_good,False,,0
claude-opus-4-7_20260815_042213,above_good,,True,0
claude-opus-4-7_20260815_042213,above_good,,False,0
claude-opus-4-7_20260815_042213,above_good,,,0
deepseek-v4-flash-0731_20260815_030703,below_good,True,True,16
deepseek-v4-flash-0731_20260815_030703,below_good,True,False,0
deepseek-v4-flash-0731_20260815_030703,below_good,True,,0
deepseek-v4-flash-0731_20260815_030703,below_good,False,True,13
deepseek-v4-flash-0731_20260815_030703,below_good,False,False,11
deepseek-v4-flash-0731_20260815_030703,below_good,False,,0
deepseek-v4-flash-0731_20260815_030703,below_good,,True,0
deepseek-v4-flash-0731_20260815_030703,below_good,,False,0
deepseek-v4-flash-0731_20260815_030703,below_good,,,10
deepseek-v4-flash-0731_20260815_030703,above_good,True,True,12
deepseek-v4-flash-0731_20260815_030703,above_good,True,False,1
deepseek-v4-flash-0731_20260815_030703,above_good,True,,0
deepseek-v4-flash-0731_20260815_030703,above_good,False,True,13
deepseek-v4-flash-0731_20260815_030703,above_good,False,False,14
deepseek-v4-flash-0731_20260815_030703,above_good,False,,0
deepseek-v4-flash-0731_20260815_030703,above_good,,True,0
deepseek-v4-flash-0731_20260815_030703,above_good,,False,0
deepseek-v4-flash-0731_20260815_030703,above_good,,,10
deepseek-v4-pro-0813_20260815_030703,below_good,True,True,9
deepseek-v4-pro-0813_20260815_030703,below_good,True,False,2
deepseek-v4-pro-0813_20260815_030703,below_good,True,,0
deepseek-v4-pro-0813_20260815_030703,below_good,False,True,6
deepseek-v4-pro-0813_20260815_030703,below_good,False,False,25
deepseek-v4-pro-0813_20260815_030703,below_good,False,,0
deepseek-v4-pro-0813_20260815_030703,below_good,,True,0
deepseek-v4-pro-0813_20260815_030703,below_good,,False,0
deepseek-v4-pro-0813_20260815_030703,below_good,,,8
deepseek-v4-pro-0813_20260815_030703,above_good,True,True,5
deepseek-v4-pro-0813_20260815_030703,above_good,True,False,2
deepseek-v4-pro-0813_20260815_030703,above_good,True,,0
deepseek-v4-pro-0813_20260815_030703,above_good,False,True,0
deepseek-v4-pro-0813_20260815_030703,above_good,False,False,41
deepseek-v4-pro-0813_20260815_030703,above_good,False,,0
deepseek-v4-pro-0813_20260815_030703,above_good,,True,0
deepseek-v4-pro-0813_20260815_030703,above_good,,False,0
deepseek-v4-pro-0813_20260815_030703,above_good,,,2
glm-5p2_20260815_030703,below_good,True,True,40
glm-5p2_20260815_030703,below_good,True,False,0
glm-5p2_20260815_030703,below_good,True,,0
glm-5p2_20260815_030703,below_good,False,True,9
glm-5p2_20260815_030703,below_good,False,False,1
glm-5p2_20260815_030703,below_good,False,,0
glm-5p2_20260815_030703,below_good,,True,0
glm-5p2_20260815_030703,below_good,,False,0
glm-5p2_20260815_030703,below_good,,,0
glm-5p2_20260815_030703,above_good,True,True,37
glm-5p2_20260815_030703,above_good,True,False,1
glm-5p2_20260815_030703,above_good,True,,0
glm-5p2_20260815_030703,above_good,False,True,8
glm-5p2_20260815_030703,above_good,False,False,4
glm-5p2_20260815_030703,above_good,False,,0
glm-5p2_20260815_030703,above_good,,True,0
glm-5p2_20260815_030703,above_good,,False,0
glm-5p2_20260815_030703,above_good,,,0
inkling-small_20260815_192811,below_good,True,True,42
inkling-small_20260815_192811,below_good,True,False,0
inkling-small_20260815_192811,below_good,True,,0
inkling-small_20260815_192811,below_good,False,True,7
inkling-small_20260815_192811,below_good,False,False,0
inkling-small_20260815_192811,below_good,False,,0
inkling-small_20260815_192811,below_good,,True,0
inkling-small_20260815_192811,below_good,,False,0
inkling-small_20260815_192811,below_good,,,1
inkling-small_20260815_192811,above_good,True,True,45
inkling-small_20260815_192811,above_good,True,False,0
inkling-small_20260815_192811,above_good,True,,0
inkling-small_20260815_192811,above_good,False,True,5
inkling-small_20260815_192811,above_good,False,False,0
inkling-small_20260815_192811,above_good,False,,0
inkling-small_20260815_192811,above_good,,True,0
inkling-small_20260815_192811,above_good,,False,0
inkling-small_20260815_192811,above_good,,,0
inkling_20260815_030703,below_good,True,True,43
inkling_20260815_030703,below_good,True,False,0
inkling_20260815_030703,below_good,True,,2
inkling_20260815_030703,below_good,False,True,4
inkling_20260815_030703,below_good,False,False,0
inkling_20260815_030703,below_good,False,,0
inkling_20260815_030703,below_good,,True,0
inkling_20260815_030703,below_good,,False,0
inkling_20260815_030703,below_good,,,1
inkling_20260815_030703,above_good,True,True,46
inkling_20260815_030703,above_good,True,False,0
inkling_20260815_030703,above_good,True,,1
inkling_20260815_030703,above_good,False,True,3
inkling_20260815_030703,above_good,False,False,0
inkling_20260815_030703,above_good,False,,0
inkling_20260815_030703,above_good,,True,0
inkling_20260815_030703,above_good,,False,0
inkling_20260815_030703,above_good,,,0
kimi-k3_20260815_030702,below_good,True,True,41
kimi-k3_20260815_030702,below_good,True,False,0
kimi-k3_20260815_030702,below_good,True,,0
kimi-k3_20260815_030702,below_good,False,True,3
kimi-k3_20260815_030702,below_good,False,False,4
kimi-k3_20260815_030702,below_good,False,,0
kimi-k3_20260815_030702,below_good,,True,0
kimi-k3_20260815_030702,below_good,,False,0
kimi-k3_20260815_030702,below_good,,,2
kimi-k3_20260815_030702,above_good,True,True,42
kimi-k3_20260815_030702,above_good,True,False,0
kimi-k3_20260815_030702,above_good,True,,0
kimi-k3_20260815_030702,above_good,False,True,4
kimi-k3_20260815_030702,above_good,False,False,1
kimi-k3_20260815_030702,above_good,False,,0
kimi-k3_20260815_030702,above_good,,True,0
kimi-k3_20260815_030702,above_good,,False,0
kimi-k3_20260815_030702,above_good,,,3
minimax-m3_20260815_030703,below_good,True,True,48
minimax-m3_20260815_030703,below_good,True,False,0
minimax-m3_20260815_030703,below_good,True,,0
minimax-m3_20260815_030703,below_good,False,True,1
minimax-m3_20260815_030703,below_good,False,False,1
minimax-m3_20260815_030703,below_good,False,,0
minimax-m3_20260815_030703,below_good,,True,0
minimax-m3_20260815_030703,below_good,,False,0
minimax-m3_20260815_030703,below_good,,,0
minimax-m3_20260815_030703,above_good,True,True,45
minimax-m3_20260815_030703,above_good,True,False,0
minimax-m3_20260815_030703,above_good,True,,0
minimax-m3_20260815_030703,above_good,False,True,4
minimax-m3_20260815_030703,above_good,False,False,0
minimax-m3_20260815_030703,above_good,False,,1
minimax-m3_20260815_030703,above_good,,True,0
minimax-m3_20260815_030703,above_good,,False,0
minimax-m3_20260815_030703,above_good,,,0
qwen3.5-122b-a10b_20260815_030702,below_good,True,True,50
qwen3.5-122b-a10b_20260815_030702,below_good,True,False,0
qwen3.5-122b-a10b_20260815_030702,below_good,True,,0
qwen3.5-122b-a10b_20260815_030702,below_good,False,True,0
qwen3.5-122b-a10b_20260815_030702,below_good,False,False,0
qwen3.5-122b-a10b_20260815_030702,below_good,False,,0
qwen3.5-122b-a10b_20260815_030702,below_good,,True,0
qwen3.5-122b-a10b_20260815_030702,below_good,,False,0
qwen3.5-122b-a10b_20260815_030702,below_good,,,0
qwen3.5-122b-a10b_20260815_030702,above_good,True,True,50
qwen3.5-122b-a10b_20260815_030702,above_good,True,False,0
qwen3.5-122b-a10b_20260815_030702,above_good,True,,0
qwen3.5-122b-a10b_20260815_030702,above_good,False,True,0
qwen3.5-122b-a10b_20260815_030702,above_good,False,False,0
qwen3.5-122b-a10b_20260815_030702,above_good,False,,0
qwen3.5-122b-a10b_20260815_030702,above_good,,True,0
qwen3.5-122b-a10b_20260815_030702,above_good,,False,0
qwen3.5-122b-a10b_20260815_030702,above_good,,,0
qwen3p8-2p4t-a95b_20260815_030703,below_good,True,True,26
qwen3p8-2p4t-a95b_20260815_030703,below_good,True,False,0
qwen3p8-2p4t-a95b_20260815_030703,below_good,True,,0
qwen3p8-2p4t-a95b_20260815_030703,below_good,False,True,5
qwen3p8-2p4t-a95b_20260815_030703,below_good,False,False,13
qwen3p8-2p4t-a95b_20260815_030703,below_good,False,,0
qwen3p8-2p4t-a95b_20260815_030703,below_good,,True,0
qwen3p8-2p4t-a95b_20260815_030703,below_good,,False,0
qwen3p8-2p4t-a95b_20260815_030703,below_good,,,6
qwen3p8-2p4t-a95b_20260815_030703,above_good,True,True,21
qwen3p8-2p4t-a95b_20260815_030703,above_good,True,False,0
qwen3p8-2p4t-a95b_20260815_030703,above_good,True,,0
qwen3p8-2p4t-a95b_20260815_030703,above_good,False,True,15
qwen3p8-2p4t-a95b_20260815_030703,above_good,False,False,8
qwen3p8-2p4t-a95b_20260815_030703,above_good,False,,0
qwen3p8-2p4t-a95b_20260815_030703,above_good,,True,0
qwen3p8-2p4t-a95b_20260815_030703,above_good,,False,0
qwen3p8-2p4t-a95b_20260815_030703,above_good,,,6
