blinded_id,source_file,row_i,split,model,condition,anchor,provider
b_c98b273ccb986a69e5a5,qwen3.5-122b-a10b/irrelevant_number_41000000.json,0,pilot,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,SiliconFlow
b_c4d5b2cd920e6cb9198f,qwen3.5-122b-a10b/irrelevant_number_41000000.json,1,pilot,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,Novita
b_b991fde52ff1b0d656c7,qwen3.5-122b-a10b/irrelevant_number_41000000.json,2,pilot,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,Novita
b_e815e7927c1dcbf4e904,qwen3.5-122b-a10b/irrelevant_number_41000000.json,3,pilot,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,SiliconFlow
b_84d0f62f6ad65d008c0f,qwen3.5-122b-a10b/irrelevant_number_41000000.json,4,pilot,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,Novita
b_cfcebd6a8032e818855a,qwen3.5-122b-a10b/irrelevant_number_41000000.json,5,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,Novita
b_86dab31d024ab90f6dbf,qwen3.5-122b-a10b/irrelevant_number_41000000.json,6,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,DeepInfra
b_7aa7664a3b3a7e6eaa9a,qwen3.5-122b-a10b/irrelevant_number_41000000.json,7,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,Novita
b_651a23c47e7d618dd37a,qwen3.5-122b-a10b/irrelevant_number_41000000.json,8,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,DeepInfra
b_f9d8da67bfa0c317177e,qwen3.5-122b-a10b/irrelevant_number_41000000.json,9,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,DeepInfra
b_a5271b7e25c7acc9726a,qwen3.5-122b-a10b/irrelevant_number_41000000.json,10,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,DeepInfra
b_42cbd5d4332003e54f01,qwen3.5-122b-a10b/irrelevant_number_41000000.json,11,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,SiliconFlow
b_33bad18f5caea2aeb864,qwen3.5-122b-a10b/irrelevant_number_41000000.json,12,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,DeepInfra
b_1ae540e8468535fa43ad,qwen3.5-122b-a10b/irrelevant_number_41000000.json,13,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,SiliconFlow
b_b0ea62e4e4526611a9e7,qwen3.5-122b-a10b/irrelevant_number_41000000.json,14,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,SiliconFlow
b_04f84fd584737c3a2cf3,qwen3.5-122b-a10b/irrelevant_number_41000000.json,15,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,SiliconFlow
b_e75d359cddc59b2620ec,qwen3.5-122b-a10b/irrelevant_number_41000000.json,16,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,SiliconFlow
b_d120a9c39b2ae829d44f,qwen3.5-122b-a10b/irrelevant_number_41000000.json,17,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,DeepInfra
b_469ded9403732b77a16b,qwen3.5-122b-a10b/irrelevant_number_41000000.json,18,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,DeepInfra
b_db334fa225313565ba87,qwen3.5-122b-a10b/irrelevant_number_41000000.json,19,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,SiliconFlow
b_efb2f795066907706473,qwen3.5-122b-a10b/irrelevant_number_41000000.json,20,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,DeepInfra
b_b1ef63efc9b3892da3a2,qwen3.5-122b-a10b/irrelevant_number_41000000.json,21,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,DeepInfra
b_0a5b05fbc9eb9af00198,qwen3.5-122b-a10b/irrelevant_number_41000000.json,22,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,DeepInfra
b_b72e31f5bd4e00a66df6,qwen3.5-122b-a10b/irrelevant_number_41000000.json,23,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,SiliconFlow
b_96d4a8dcda5c1a286ca4,qwen3.5-122b-a10b/irrelevant_number_41000000.json,24,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,Novita
b_37e90c48f59cf088cec5,qwen3.5-122b-a10b/irrelevant_number_41000000.json,25,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,SiliconFlow
b_654a6d9eee893dde5c03,qwen3.5-122b-a10b/irrelevant_number_41000000.json,26,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,Novita
b_f5bc7960d9b854ec7962,qwen3.5-122b-a10b/irrelevant_number_41000000.json,27,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,DeepInfra
b_fb1b120db07cb9644780,qwen3.5-122b-a10b/irrelevant_number_41000000.json,28,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,SiliconFlow
b_adeaeb7402f8b4da26b1,qwen3.5-122b-a10b/irrelevant_number_41000000.json,29,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,SiliconFlow
b_ac9a6aa1628c83d4d4b1,qwen3.5-122b-a10b/irrelevant_number_41000000.json,30,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,DeepInfra
b_4b6cd3b33adcb2586f67,qwen3.5-122b-a10b/irrelevant_number_41000000.json,31,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,Novita
b_8779c5e8bac5120844ae,qwen3.5-122b-a10b/irrelevant_number_41000000.json,32,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,DeepInfra
b_7528917fcbc5276af50f,qwen3.5-122b-a10b/irrelevant_number_41000000.json,33,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,DeepInfra
b_9277a53e72d4cc6a3b9b,qwen3.5-122b-a10b/irrelevant_number_41000000.json,34,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,SiliconFlow
b_d2f3549d046b9e92eb19,qwen3.5-122b-a10b/irrelevant_number_41000000.json,35,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,DeepInfra
b_01a5f5ff4762c645faf1,qwen3.5-122b-a10b/irrelevant_number_41000000.json,36,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,SiliconFlow
b_fd6949c39aa988ef3fe6,qwen3.5-122b-a10b/irrelevant_number_41000000.json,37,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,DeepInfra
b_8ded29e29f7818c2fa5d,qwen3.5-122b-a10b/irrelevant_number_41000000.json,38,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,DeepInfra
b_8b50a1c64ca64221d8c8,qwen3.5-122b-a10b/irrelevant_number_41000000.json,39,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,SiliconFlow
