blinded_id,source_file,row_i,split,model,condition,anchor,provider,parser_estimate,parser_status,final_estimate,final_status,measurement_source
b_c98b273ccb986a69e5a5,qwen3.5-122b-a10b/irrelevant_number_41000000.json,0,pilot,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,SiliconFlow,44000000,clear,44000000,clear,parser_confirmed
b_c4d5b2cd920e6cb9198f,qwen3.5-122b-a10b/irrelevant_number_41000000.json,1,pilot,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,Novita,90000000,clear,90000000,clear,parser_confirmed
b_b991fde52ff1b0d656c7,qwen3.5-122b-a10b/irrelevant_number_41000000.json,2,pilot,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,Novita,,ambiguous,40000000,clear,blind_adjudication
b_e815e7927c1dcbf4e904,qwen3.5-122b-a10b/irrelevant_number_41000000.json,3,pilot,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,SiliconFlow,52000000,clear,52000000,clear,parser_confirmed
b_84d0f62f6ad65d008c0f,qwen3.5-122b-a10b/irrelevant_number_41000000.json,4,pilot,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,Novita,125000000,clear,125000000,clear,parser_confirmed
b_cfcebd6a8032e818855a,qwen3.5-122b-a10b/irrelevant_number_41000000.json,5,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,Novita,30000000,clear,30000000,clear,parser_confirmed
b_86dab31d024ab90f6dbf,qwen3.5-122b-a10b/irrelevant_number_41000000.json,6,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,DeepInfra,35000000,clear,35000000,clear,parser_confirmed
b_7aa7664a3b3a7e6eaa9a,qwen3.5-122b-a10b/irrelevant_number_41000000.json,7,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,Novita,54900000,clear,54900000,clear,parser_confirmed
b_651a23c47e7d618dd37a,qwen3.5-122b-a10b/irrelevant_number_41000000.json,8,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,DeepInfra,33000000,clear,33000000,clear,parser_confirmed
b_f9d8da67bfa0c317177e,qwen3.5-122b-a10b/irrelevant_number_41000000.json,9,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,DeepInfra,81900000,clear,81900000,clear,parser_confirmed
b_a5271b7e25c7acc9726a,qwen3.5-122b-a10b/irrelevant_number_41000000.json,10,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,DeepInfra,,ambiguous,70000000,clear,blind_adjudication
b_42cbd5d4332003e54f01,qwen3.5-122b-a10b/irrelevant_number_41000000.json,11,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,SiliconFlow,42000000,clear,42000000,clear,parser_confirmed
b_33bad18f5caea2aeb864,qwen3.5-122b-a10b/irrelevant_number_41000000.json,12,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,DeepInfra,65000000,clear,65000000,clear,parser_confirmed
b_1ae540e8468535fa43ad,qwen3.5-122b-a10b/irrelevant_number_41000000.json,13,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,SiliconFlow,41000000,clear,41000000,clear,parser_confirmed
b_b0ea62e4e4526611a9e7,qwen3.5-122b-a10b/irrelevant_number_41000000.json,14,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,SiliconFlow,44000000,clear,44000000,clear,parser_confirmed
b_04f84fd584737c3a2cf3,qwen3.5-122b-a10b/irrelevant_number_41000000.json,15,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,SiliconFlow,44000000,clear,44000000,clear,parser_confirmed
b_e75d359cddc59b2620ec,qwen3.5-122b-a10b/irrelevant_number_41000000.json,16,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,SiliconFlow,45000000,clear,47000000,clear,blind_adjudication
b_d120a9c39b2ae829d44f,qwen3.5-122b-a10b/irrelevant_number_41000000.json,17,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,DeepInfra,32000000,clear,32000000,clear,parser_confirmed
b_469ded9403732b77a16b,qwen3.5-122b-a10b/irrelevant_number_41000000.json,18,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,DeepInfra,41000000,clear,41000000,clear,parser_confirmed
b_db334fa225313565ba87,qwen3.5-122b-a10b/irrelevant_number_41000000.json,19,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,SiliconFlow,36000000,clear,36000000,clear,parser_confirmed
b_efb2f795066907706473,qwen3.5-122b-a10b/irrelevant_number_41000000.json,20,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,DeepInfra,37500000,clear,37500000,clear,parser_confirmed
b_b1ef63efc9b3892da3a2,qwen3.5-122b-a10b/irrelevant_number_41000000.json,21,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,DeepInfra,80000000,clear,80000000,clear,parser_confirmed
b_0a5b05fbc9eb9af00198,qwen3.5-122b-a10b/irrelevant_number_41000000.json,22,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,DeepInfra,46800000,clear,46800000,clear,parser_confirmed
b_b72e31f5bd4e00a66df6,qwen3.5-122b-a10b/irrelevant_number_41000000.json,23,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,SiliconFlow,42000000,clear,42000000,clear,parser_confirmed
b_96d4a8dcda5c1a286ca4,qwen3.5-122b-a10b/irrelevant_number_41000000.json,24,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,Novita,76000000,clear,76000000,clear,parser_confirmed
b_37e90c48f59cf088cec5,qwen3.5-122b-a10b/irrelevant_number_41000000.json,25,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,SiliconFlow,40000000,clear,40000000,clear,parser_confirmed
b_654a6d9eee893dde5c03,qwen3.5-122b-a10b/irrelevant_number_41000000.json,26,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,Novita,40000000,clear,40000000,clear,parser_confirmed
b_f5bc7960d9b854ec7962,qwen3.5-122b-a10b/irrelevant_number_41000000.json,27,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,DeepInfra,40000000,clear,40000000,clear,parser_confirmed
b_fb1b120db07cb9644780,qwen3.5-122b-a10b/irrelevant_number_41000000.json,28,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,SiliconFlow,40500000,clear,40500000,clear,parser_confirmed
b_adeaeb7402f8b4da26b1,qwen3.5-122b-a10b/irrelevant_number_41000000.json,29,holdout,qwen/qwen3.5-122b-a10b,irrelevant_number,41000000,SiliconFlow,,ambiguous,23400000,clear,blind_adjudication
